dataset_id,source_kind,name,url,use,ok,status_code,final_url,title,content_type,bytes_read,has_sensitive_pattern_in_probe,keywords,error
galicia,current_hint_source,DOG 195/2025 UFD en Marín,https://www.xunta.gal/dog/Publicados/2025/20251009/AnuncioG0763-110825-0008_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20251009/AnuncioG0763-110825-0008_es.html,"DOG 195 del 9/10/2025 - RESOLUCIÓN de 8 de agosto de 2025, del Departamento Territorial de Pontevedra, por la que se concede la autorización administrativa previa y de construcción",text/html; charset=UTF-8,19506,True,distribución | distribuidora | galicia,
galicia,current_hint_source,DOG 84/2025 UFD en Moaña,https://www.xunta.gal/dog/Publicados/2025/20250505/AnuncioG0763-100425-0001_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20250505/AnuncioG0763-100425-0001_es.html,"DOG 84 del 5/5/2025 - RESOLUCIÓN de 9 de abril de 2025, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de construcci",text/html; charset=UTF-8,17104,True,distribución | red | galicia,
galicia,current_hint_source,Eléctrica de Moscoso — información pública corporativa,https://www.emoscoso.com/,Fuente ya usada en distributor_hints.json.,True,200,https://emoscoso.com/,"Eléctrica de Moscoso, S.L.",text/html; charset=UTF-8,18484,True,distribución | municipio | cnmc,
galicia,current_hint_source,DOG 238/2025 UFD en Mos,https://www.xunta.gal/dog/Publicados/2025/20251210/AnuncioG0763-191125-0002_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20251210/AnuncioG0763-191125-0002_es.html,"DOG 238 del 10/12/2025 - RESOLUCIÓN de 18 de noviembre de 2025, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de co",text/html; charset=UTF-8,19180,True,distribución | galicia,
galicia,current_hint_source,DOG 152/2025 UFD en Nigrán,https://www.xunta.gal/dog/Publicados/2025/20250811/AnuncioG0763-180725-0002_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20250811/AnuncioG0763-180725-0002_es.html,"DOG 152 del 11/8/2025 - RESOLUCIÓN de 11 de julio de 2025, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de constru",text/html; charset=UTF-8,16644,True,distribución | galicia,
galicia,current_hint_source,DOG 87/2024 UFD en O Porriño,https://www.xunta.gal/dog/Publicados/2024/20240503/AnuncioG0692-090424-0011_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2024/20240503/AnuncioG0692-090424-0011_es.html,"DOG 87 del 3/5/2024 - RESOLUCIÓN de 8 de abril de 2024, de la Jefatura Territorial de Pontevedra, por la que se concede la autorización administrativa previa y de construcción de u",text/html; charset=UTF-8,17363,True,distribución | galicia,
galicia,current_hint_source,DOG 234/2024 UFD en Poio,https://www.xunta.gal/dog/Publicados/2024/20241204/AnuncioG0763-131124-0004_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2024/20241204/AnuncioG0763-131124-0004_es.html,"DOG 234 del 4/12/2024 - RESOLUCIÓN de 12 de noviembre de 2024, del Departamento Territorial de Pontevedra, por la que se anuncia el levantamiento de las actas previas a la ocupació",text/html; charset=UTF-8,11526,False,distribución | red | galicia,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/elemol/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/elemol/,Eléctrica Los Molinos S.L. – APYDE,text/html; charset=UTF-8,129204,True,distribución | red,
galicia,current_hint_source,DOG 109/2024 UFD en Redondela,https://www.xunta.gal/dog/Publicados/2024/20240606/AnuncioG0763-150524-0010_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2024/20240606/AnuncioG0763-150524-0010_es.html,"DOG 109 del 6/6/2024 - RESOLUCIÓN de 13 de mayo de 2024, de la Dirección Territorial de Pontevedra, por la que se concede la autorización administrativa previa y de construcción de",text/html; charset=UTF-8,17356,True,distribución | red | galicia,
galicia,current_hint_source,DOG 51/2018 Electra Alto Miño,https://www.xunta.gal/dog/Publicados/2018/20180313/AnuncioG0424-141217-0002_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2018/20180313/AnuncioG0424-141217-0002_es.html,"DOG 51 del 13/03/2018 - RESOLUCIÓN de 12 de diciembre de 2017, de la Jefatura Territorial de Pontevedra, de autorización administrativa y autorización administrativa de construcció",text/html; charset=UTF-8,11296,True,distribución | distribuidora | galicia,
galicia,current_hint_source,DOG 170/2025 UFD en Salvaterra de Miño,https://www.xunta.gal/dog/Publicados/2025/20250904/AnuncioG0763-280825-0002_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20250904/AnuncioG0763-280825-0002_es.html,"DOG 170 del 4/9/2025 - RESOLUCIÓN de 22 de agosto de 2025, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de constru",text/html; charset=UTF-8,19958,True,distribución | distribuidora | galicia,
galicia,current_hint_source,DOG 39/2026 UFD en Sanxenxo,https://www.xunta.gal/dog/Publicados/2026/20260227/AnuncioG0763-060226-0008_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2026/20260227/AnuncioG0763-060226-0008_es.html,"DOG 39 del 27/2/2026 - RESOLUCIÓN de 5 de enero de 2026, del Departamento Territorial de Pontevedra, por la que se concede la autorización administrativa previa y de construcción d",text/html; charset=UTF-8,17921,True,distribución | galicia,
galicia,current_hint_source,DOG 240/2023 UFD en Soutomaior,https://www.xunta.gal/dog/Publicados/2023/20231220/AnuncioG0692-281123-0001_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2023/20231220/AnuncioG0692-281123-0001_es.html,"DOG 240 del 20/12/2023 - RESOLUCIÓN de 27 de noviembre de 2023, de la Jefatura Territorial de Pontevedra, por la que se anuncia el levantamiento de las actas previas a la ocupación",text/html; charset=UTF-8,12319,True,distribución | galicia,
galicia,current_hint_source,DOG 162/2025 UFD en Valga,https://www.xunta.gal/dog/Publicados/2025/20250826/AnuncioG0763-040825-0006_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20250826/AnuncioG0763-040825-0006_es.html,"DOG 162 del 26/8/2025 - RESOLUCIÓN de 31 de julio de 2025, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de constru",text/html; charset=UTF-8,17867,True,distribución | galicia,
galicia,current_hint_source,DOG 68/2026 UFD en Vigo,https://www.xunta.gal/dog/Publicados/2026/20260414/AnuncioG0763-060426-0001_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2026/20260414/AnuncioG0763-060426-0001_es.html,"DOG 68 del 14/4/2026 - RESOLUCIÓN de 1 de abril de 2026, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de construcc",text/html; charset=UTF-8,18793,True,distribución | distribuidora | galicia,
galicia,current_hint_source,DOG 4/2025 UFD en Vilaboa,https://www.xunta.gal/dog/Publicados/2025/20250108/AnuncioG0763-131224-0004_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20250108/AnuncioG0763-131224-0004_es.html,"DOG 4 del 8/1/2025 - RESOLUCIÓN de 11 de diciembre de 2024, del Departamento Territorial de Pontevedra, por la que se anuncia el levantamiento de las actas previas a la ocupación d",text/html; charset=UTF-8,12599,True,distribución | red | municipio | galicia,
galicia,current_hint_source,DOG 80/2026 UFD en Vilagarcía de Arousa,https://www.xunta.gal/dog/Publicados/2026/20260430/AnuncioG0760-090426-0005_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2026/20260430/AnuncioG0760-090426-0005_es.html,"DOG 80 del 30/4/2026 - RESOLUCIÓN de 9 de abril de 2026, del Departamento Territorial de Pontevedra, por la que se concede la autorización administrativa previa y de construcción d",text/html; charset=UTF-8,16939,False,distribución | galicia,
