dataset_id,zone_id,municipality,province,review_status,candidate_distributor,candidate_confidence,source_url,source_label,review_notes
andalucia,municipality:cordoba::fuente_la_lancha,Fuente la Lancha,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::fuente_tojar,Fuente-Tójar,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::guadalcazar,Guadalcázar,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::la_guijarrosa,La Guijarrosa,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::la_rambla,La Rambla,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::la_victoria,La Victoria,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::los_blazquez,Los Blázquez,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::lucena,Lucena,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::luque,Luque,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::montalban_de_cordoba,Montalbán de Córdoba,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::montilla,Montilla,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::montoro,Montoro,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::monturque,Monturque,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::nueva_carteya,Nueva Carteya,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::obejo,Obejo,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::palenciana,Palenciana,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::palma_del_rio,Palma del Río,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::pozoblanco,Pozoblanco,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::san_sebastian_de_los_ballesteros,San Sebastián de los Ballesteros,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::santa_eufemia,Santa Eufemia,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::santaella,Santaella,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::valenzuela,Valenzuela,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::valsequillo,Valsequillo,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::villanueva_del_rey,Villanueva del Rey,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::villaralto,Villaralto,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::zuheros,Zuheros,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:granada::agron,Agrón,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::alamedilla,Alamedilla,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::albolote,Albolote,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::albondon,Albondón,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::albunol,Albuñol,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::albunuelas,Albuñuelas,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::albunan,Albuñán,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::aldeire,Aldeire,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::alfacar,Alfacar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::algarinejo,Algarinejo,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::alhendin,Alhendín,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::alicun_de_ortega,Alicún de Ortega,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::almegijar,Almegíjar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::alpujarra_de_la_sierra,Alpujarra de la Sierra,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::alquife,Alquife,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::arenas_del_rey,Arenas del Rey,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::atarfe,Atarfe,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::baza,Baza,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::beas_de_guadix,Beas de Guadix,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::benamaurel,Benamaurel,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::busquistar,Busquístar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::berchules,Bérchules,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::cacin,Cacín,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::calicasas,Calicasas,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::campotejar,Campotéjar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::castillejar,Castilléjar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::castril,Castril,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::chauchina,Chauchina,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::chimeneas,Chimeneas,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::cijuela,Cijuela,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::cogollos_de_guadix,Cogollos de Guadix,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::cogollos_de_la_vega,Cogollos de la Vega,Granada,pending_municipal_review,,,,,
